id,complaint_id,updated_by,comment,status,updated_at
1,68,8,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-10-03 03:53:15
2,94,9,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2025-01-31 16:25:59
3,22,10,Your complaint has been escalated to the department head.,in_progress,2024-02-18 07:44:47
4,3,3,We have identified the root cause and are working on a fix.,in_progress,2024-08-20 18:27:28
5,50,3,Issue fixed. System has been updated accordingly.,resolved,2024-11-07 22:48:58
6,86,2,The complaint has been resolved. Thank you for your patience.,resolved,2024-02-10 04:27:03
7,95,8,We have identified the root cause and are working on a fix.,in_progress,2024-05-19 18:59:33
8,90,3,The problem was resolved after coordinating with the relevant department.,resolved,2025-02-08 04:28:39
9,7,7,Issue fixed. System has been updated accordingly.,resolved,2024-08-25 17:25:51
10,65,3,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-05-14 15:57:42
11,27,10,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-07-11 12:41:14
12,31,9,We have identified the root cause and are working on a fix.,in_progress,2024-12-21 21:58:17
13,100,2,Your complaint has been escalated to the department head.,in_progress,2024-04-18 17:32:46
14,6,5,The complaint has been resolved. Thank you for your patience.,resolved,2024-05-23 11:03:30
15,98,5,A technician has been dispatched to address the problem.,in_progress,2025-02-21 05:24:38
16,34,8,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-04-21 09:11:03
17,60,9,Repairs have been completed. The facility is now operational.,resolved,2024-04-14 15:02:50
18,38,2,We have received your complaint and assigned it to the relevant team.,in_progress,2024-05-27 14:16:36
19,15,2,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-10-14 00:59:46
20,91,7,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-09-22 04:30:35
21,62,5,Issue fixed. System has been updated accordingly.,resolved,2024-04-05 09:34:40
22,49,11,A technician has been dispatched to address the problem.,in_progress,2024-03-04 09:43:01
23,88,4,The issue is under investigation. We will update you shortly.,in_progress,2024-05-10 05:21:49
24,81,11,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-05-11 23:14:40
25,66,11,The complaint has been resolved. Thank you for your patience.,resolved,2025-03-09 08:16:12
26,93,9,Issue fixed. System has been updated accordingly.,resolved,2025-02-21 22:11:13
27,41,5,The problem was resolved after coordinating with the relevant department.,resolved,2024-11-09 15:52:38
28,78,9,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-04-22 05:01:13
29,52,9,Maintenance team has been informed and will visit tomorrow.,in_progress,2025-01-29 04:01:22
30,63,4,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-12-15 03:32:41
31,35,7,Your complaint has been escalated to the department head.,in_progress,2025-03-22 06:59:51
32,76,8,The complaint has been resolved. Thank you for your patience.,resolved,2024-08-23 05:28:41
33,1,9,We have identified the root cause and are working on a fix.,in_progress,2024-02-27 17:49:26
34,53,5,The problem was resolved after coordinating with the relevant department.,resolved,2024-04-25 18:09:16
35,57,3,Repairs have been completed. The facility is now operational.,resolved,2024-10-14 21:44:01
36,33,11,The matter has been addressed and corrective measures applied.,resolved,2024-06-17 16:00:03
37,70,6,We have received your complaint and assigned it to the relevant team.,in_progress,2024-06-13 13:32:59
38,71,6,We have received your complaint and assigned it to the relevant team.,in_progress,2025-01-19 03:01:07
39,5,11,The complaint has been resolved. Thank you for your patience.,resolved,2024-05-25 21:15:49
40,12,6,We have identified the root cause and are working on a fix.,in_progress,2024-08-05 20:01:29
41,80,11,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-03-07 17:05:23
42,54,5,A technician has been dispatched to address the problem.,in_progress,2024-03-21 06:53:38
43,21,11,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-05-10 13:34:23
44,36,3,The complaint has been resolved. Thank you for your patience.,resolved,2024-09-05 01:06:44
45,79,6,We have identified the root cause and are working on a fix.,in_progress,2024-12-24 12:56:00
46,51,2,Issue fixed. System has been updated accordingly.,resolved,2024-12-07 11:07:22
47,87,4,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-07-15 22:20:06
48,26,7,The complaint has been resolved. Thank you for your patience.,resolved,2024-02-16 08:52:44
49,69,4,The issue is under investigation. We will update you shortly.,in_progress,2024-08-03 10:02:16
50,99,10,The matter has been addressed and corrective measures applied.,resolved,2024-06-23 23:36:02
51,39,10,The matter has been addressed and corrective measures applied.,resolved,2024-03-28 11:51:48
52,28,6,We have identified the root cause and are working on a fix.,in_progress,2024-03-11 13:05:47
53,77,6,A technician has been dispatched to address the problem.,in_progress,2025-03-06 17:59:59
54,46,3,The problem was resolved after coordinating with the relevant department.,resolved,2025-02-23 08:43:58
55,29,4,We have identified the root cause and are working on a fix.,in_progress,2025-03-07 17:47:08
56,64,8,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-12-08 06:27:44
57,45,3,We have identified the root cause and are working on a fix.,in_progress,2025-01-19 20:34:22
58,13,2,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-09-06 22:21:03
59,75,3,The problem was resolved after coordinating with the relevant department.,resolved,2024-06-13 19:34:57
60,58,6,Issue fixed. System has been updated accordingly.,resolved,2024-06-19 22:21:08
61,11,7,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-02-16 03:50:17
62,84,9,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-06-26 04:26:50
63,43,11,The issue is under investigation. We will update you shortly.,in_progress,2024-04-18 16:17:17
64,24,9,The complaint has been resolved. Thank you for your patience.,resolved,2024-07-18 13:06:13
65,42,8,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-04-07 13:55:52
66,19,2,We have received your complaint and assigned it to the relevant team.,in_progress,2024-02-25 02:57:36
67,73,9,We have received your complaint and assigned it to the relevant team.,in_progress,2025-03-18 01:59:05
68,2,5,Issue fixed. System has been updated accordingly.,resolved,2024-04-09 15:55:20
69,56,8,The problem was resolved after coordinating with the relevant department.,resolved,2024-12-09 11:32:16
70,32,10,The problem was resolved after coordinating with the relevant department.,resolved,2024-02-19 08:25:29
71,44,8,The complaint has been resolved. Thank you for your patience.,resolved,2024-12-24 08:09:59
72,4,9,Issue fixed. System has been updated accordingly.,resolved,2024-04-02 07:09:03
73,50,2,A technician has been dispatched to address the problem.,in_progress,2024-11-05 22:48:58
74,41,9,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-11-08 13:52:38
75,60,3,A technician has been dispatched to address the problem.,in_progress,2024-04-13 11:02:50
76,86,7,We have received your complaint and assigned it to the relevant team.,in_progress,2024-02-09 21:27:03
77,50,5,We have received your complaint and assigned it to the relevant team.,in_progress,2024-11-06 01:48:58
78,11,5,A technician has been dispatched to address the problem.,in_progress,2024-02-15 17:50:17
79,94,2,We have received your complaint and assigned it to the relevant team.,in_progress,2025-01-31 09:25:59
80,44,4,We have identified the root cause and are working on a fix.,in_progress,2024-12-24 13:09:59
81,41,3,We have identified the root cause and are working on a fix.,in_progress,2024-11-08 23:52:38
82,41,11,The issue is under investigation. We will update you shortly.,in_progress,2024-11-08 13:52:38
83,57,4,We have identified the root cause and are working on a fix.,in_progress,2024-10-13 15:44:01
84,2,6,We have identified the root cause and are working on a fix.,in_progress,2024-04-09 01:55:20
85,32,10,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-02-18 17:25:29
86,26,2,The issue is under investigation. We will update you shortly.,in_progress,2024-02-14 02:52:44
87,58,5,Your complaint has been escalated to the department head.,in_progress,2024-06-18 07:21:08
88,4,4,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-03-31 03:09:03
89,32,8,Your complaint has been escalated to the department head.,in_progress,2024-02-18 15:25:29
90,7,9,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-08-24 01:25:51
91,81,11,We have received your complaint and assigned it to the relevant team.,in_progress,2024-05-10 12:14:40
92,81,5,Your complaint has been escalated to the department head.,in_progress,2024-05-09 23:14:40
93,84,6,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-06-25 06:26:50
94,4,2,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-03-31 14:09:03
95,65,3,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-05-13 18:57:42
96,66,3,We have received your complaint and assigned it to the relevant team.,in_progress,2025-03-08 11:16:12
97,94,4,We have received your complaint and assigned it to the relevant team.,in_progress,2025-01-31 03:25:59
98,50,11,A technician has been dispatched to address the problem.,in_progress,2024-11-06 05:48:58
99,87,7,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-07-15 03:20:06
100,84,6,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-06-25 02:26:50
