id,user_id,message,is_read,created_at
1,78,"Update on your complaint ""Exam timetable clash"": status changed to In Progress.",1,2024-04-12 20:49:58
2,84,"Complaint ""Missing study materials on LMS"" status has been updated. Check your dashboard.",1,2024-06-30 00:19:13
3,56,A new complaint has been submitted to your department.,0,2024-10-04 06:08:35
4,59,"Your complaint ""Missing study materials on LMS"" has been escalated to the department head.",1,2024-03-28 20:31:42
5,41,"Reminder: Complaint ""Air conditioning not functioning"" has been pending for over 48 hours.",1,2024-07-30 23:29:24
6,48,Action required: Please review the complaint assigned to you.,0,2024-03-25 20:33:11
7,11,"Your complaint ""Lighting issues in study room"" has been escalated to the department head.",0,2024-10-30 10:38:27
8,17,"Your complaint ""Elevator out of service"" has been received and is under review.",1,2025-03-26 04:43:46
9,72,"Update on your complaint ""Water leakage in corridor"": status changed to In Progress.",0,2024-10-15 15:32:45
10,86,"Your complaint ""Projector not working in classroom"" has been escalated to the department head.",1,2024-02-23 23:01:27
11,37,"Complaint ""Canteen food quality issues"" requires your attention as department admin.",0,2024-04-04 11:15:16
12,74,A new complaint has been submitted to your department.,0,2025-01-23 12:39:42
13,29,"Reminder: Complaint ""Course registration system error"" has been pending for over 48 hours.",1,2024-10-26 11:50:04
14,15,"Complaint ""Printing facility out of paper"" requires your attention as department admin.",1,2024-07-08 15:54:39
15,55,"Your complaint ""Elevator out of service"" has been closed. Thank you for your report.",1,2025-03-22 10:22:52
16,4,"Complaint ""WiFi connectivity issues in lab"" requires your attention as department admin.",0,2024-06-03 03:11:57
17,35,"Complaint ""Elevator out of service"" requires your attention as department admin.",0,2024-10-13 15:33:03
18,1,"Your complaint ""Lighting issues in study room"" has been resolved. Please provide feedback.",1,2024-11-21 07:09:42
19,9,"Your complaint ""Printing facility out of paper"" has been received and is under review.",0,2025-03-02 00:54:50
20,28,"Your complaint ""Lighting issues in study room"" has been escalated to the department head.",0,2024-10-05 18:45:42
21,21,"Complaint ""Noise disturbance near exam hall"" requires your attention as department admin.",1,2024-09-22 22:56:07
22,100,"Your complaint ""Attendance marked incorrectly"" has been closed. Thank you for your report.",0,2024-02-24 20:41:58
23,20,"Your complaint ""Noise disturbance near exam hall"" has been closed. Thank you for your report.",0,2024-03-18 08:47:23
24,35,"Your complaint ""Lecture room double-booked"" has been escalated to the department head.",0,2024-12-23 08:18:03
25,54,A new complaint has been submitted to your department.,1,2024-04-12 09:42:43
26,45,"Update on your complaint ""Exam timetable clash"": status changed to In Progress.",0,2025-01-26 23:29:31
27,68,"Complaint ""Lighting issues in study room"" requires your attention as department admin.",0,2024-07-04 06:45:41
28,51,"Your complaint ""Canteen food quality issues"" has been received and is under review.",0,2024-06-21 18:43:23
29,39,"Your complaint ""Printing facility out of paper"" has been resolved. Please provide feedback.",0,2024-08-26 19:41:08
30,42,"Your complaint ""Attendance marked incorrectly"" has been received and is under review.",0,2024-12-14 11:59:28
31,23,"Your complaint ""Library books not returned to shelves"" has been escalated to the department head.",1,2024-07-11 17:34:28
32,65,"Reminder: Complaint ""Elevator out of service"" has been pending for over 48 hours.",0,2024-11-18 09:56:35
33,95,"Your complaint ""Lecture room double-booked"" has been escalated to the department head.",0,2025-01-06 02:26:25
34,10,"Your complaint ""Elevator out of service"" has been closed. Thank you for your report.",0,2025-04-04 08:56:41
35,52,"Your complaint ""Elevator out of service"" has been escalated to the department head.",0,2024-04-13 10:59:14
36,52,"Reminder: Complaint ""Assignment grades not updated on portal"" has been pending for over 48 hours.",0,2025-01-06 08:49:40
37,89,"Update on your complaint ""Parking area overcrowded"": status changed to In Progress.",0,2024-04-06 05:25:54
38,32,"Your complaint ""Exam timetable clash"" has been closed. Thank you for your report.",0,2025-02-24 23:22:11
39,11,"Complaint ""Attendance marked incorrectly"" requires your attention as department admin.",1,2024-10-04 16:59:10
40,29,"Your complaint ""Water leakage in corridor"" has been resolved. Please provide feedback.",0,2025-02-14 12:05:53
41,82,"Complaint ""Noise disturbance near exam hall"" status has been updated. Check your dashboard.",1,2024-06-13 14:37:37
42,100,"Reminder: Complaint ""Lighting issues in study room"" has been pending for over 48 hours.",1,2024-05-08 17:08:17
43,31,"Your complaint ""Course registration system error"" has been resolved. Please provide feedback.",0,2024-06-16 05:24:46
44,23,"Your complaint ""WiFi connectivity issues in lab"" has been resolved. Please provide feedback.",1,2024-03-13 12:41:12
45,23,Action required: Please review the complaint assigned to you.,0,2025-03-27 20:47:27
46,98,Action required: Please review the complaint assigned to you.,1,2025-03-28 10:53:22
47,83,"Your complaint ""Projector not working in classroom"" has been closed. Thank you for your report.",0,2024-09-16 13:15:22
48,20,"Update on your complaint ""Lecture room double-booked"": status changed to In Progress.",0,2024-12-23 11:21:20
49,81,"Complaint ""Canteen food quality issues"" requires your attention as department admin.",1,2024-02-27 15:07:27
50,46,"Update on your complaint ""Lighting issues in study room"": status changed to In Progress.",0,2025-01-07 15:30:13
51,58,"Your complaint ""Library books not returned to shelves"" has been received and is under review.",0,2024-08-24 23:30:13
52,10,"Update on your complaint ""Elevator out of service"": status changed to In Progress.",1,2025-02-11 20:25:45
53,50,"Your complaint ""Security concern near hostel"" has been closed. Thank you for your report.",1,2024-02-15 20:43:07
54,58,A new complaint has been submitted to your department.,0,2025-01-18 10:22:03
55,65,"Your complaint ""Parking area overcrowded"" has been received and is under review.",0,2024-04-04 09:24:53
56,44,"Update on your complaint ""Library books not returned to shelves"": status changed to In Progress.",1,2024-05-28 00:43:52
57,6,Action required: Please review the complaint assigned to you.,0,2025-02-25 01:20:45
58,67,"Your complaint ""Broken chairs in lecture hall"" has been resolved. Please provide feedback.",0,2024-10-30 14:27:52
59,37,"Your complaint ""Slow internet in computer lab"" has been escalated to the department head.",0,2024-02-24 16:09:50
60,81,"Reminder: Complaint ""Elevator out of service"" has been pending for over 48 hours.",0,2024-09-27 01:52:52
61,13,"Your complaint ""Elevator out of service"" has been escalated to the department head.",0,2024-07-28 17:32:30
62,93,"Your complaint ""Parking area overcrowded"" has been closed. Thank you for your report.",0,2024-09-29 22:19:07
63,11,"Your complaint ""Broken chairs in lecture hall"" has been resolved. Please provide feedback.",0,2024-09-11 23:08:19
64,84,"Your complaint ""Elevator out of service"" has been escalated to the department head.",0,2024-03-20 19:16:36
65,40,"Your complaint ""Elevator out of service"" has been escalated to the department head.",1,2024-09-26 03:14:48
66,17,"Complaint ""Lighting issues in study room"" status has been updated. Check your dashboard.",0,2024-12-08 20:52:00
67,66,"Your complaint ""Parking area overcrowded"" has been received and is under review.",0,2024-09-10 21:40:51
68,24,"Reminder: Complaint ""Printing facility out of paper"" has been pending for over 48 hours.",0,2024-06-12 03:14:13
69,29,"Your complaint ""Broken chairs in lecture hall"" has been resolved. Please provide feedback.",0,2024-08-31 17:57:51
70,13,"Complaint ""Lighting issues in study room"" status has been updated. Check your dashboard.",1,2025-02-26 23:15:39
71,5,"Reminder: Complaint ""Parking area overcrowded"" has been pending for over 48 hours.",1,2024-04-25 18:55:52
72,77,"Your complaint ""Lighting issues in study room"" has been resolved. Please provide feedback.",0,2024-06-03 11:12:47
73,89,"Your complaint ""Course registration system error"" has been closed. Thank you for your report.",0,2024-12-19 22:49:25
74,6,"Reminder: Complaint ""Exam timetable clash"" has been pending for over 48 hours.",1,2024-07-17 11:53:01
75,57,"Complaint ""Broken chairs in lecture hall"" requires your attention as department admin.",1,2024-12-28 16:37:25
76,30,A new complaint has been submitted to your department.,0,2025-01-13 07:05:04
77,25,"Your complaint ""Noise disturbance near exam hall"" has been closed. Thank you for your report.",0,2025-01-07 14:20:18
78,99,"Your complaint ""Library books not returned to shelves"" has been escalated to the department head.",1,2025-02-27 16:33:47
79,54,A new complaint has been submitted to your department.,1,2024-05-01 11:56:08
80,33,Action required: Please review the complaint assigned to you.,0,2025-03-20 17:23:19
81,14,"Complaint ""Library books not returned to shelves"" status has been updated. Check your dashboard.",0,2024-08-23 09:57:35
82,11,"Your complaint ""Printing facility out of paper"" has been resolved. Please provide feedback.",0,2024-12-28 23:55:02
83,66,"Your complaint ""Printing facility out of paper"" has been escalated to the department head.",0,2024-07-05 11:05:18
84,58,"Your complaint ""Lighting issues in study room"" has been received and is under review.",0,2024-02-25 08:46:49
85,51,"Reminder: Complaint ""Lighting issues in study room"" has been pending for over 48 hours.",0,2024-11-09 22:39:29
86,11,A new complaint has been submitted to your department.,0,2024-09-18 12:42:59
87,13,"Reminder: Complaint ""Library books not returned to shelves"" has been pending for over 48 hours.",0,2024-04-30 21:02:32
88,5,Action required: Please review the complaint assigned to you.,1,2024-05-01 19:16:59
89,98,Action required: Please review the complaint assigned to you.,0,2024-01-19 01:53:21
90,11,"Complaint ""Assignment grades not updated on portal"" requires your attention as department admin.",0,2024-05-10 03:14:51
91,71,"Your complaint ""Parking area overcrowded"" has been closed. Thank you for your report.",1,2024-12-08 18:02:26
92,15,"Complaint ""Air conditioning not functioning"" requires your attention as department admin.",0,2024-09-04 21:51:54
93,16,A new complaint has been submitted to your department.,0,2025-01-04 01:12:55
94,9,Action required: Please review the complaint assigned to you.,1,2025-03-06 08:46:00
95,3,"Complaint ""Projector not working in classroom"" status has been updated. Check your dashboard.",1,2024-07-20 22:03:13
96,92,"Complaint ""Printing facility out of paper"" requires your attention as department admin.",0,2024-01-16 05:09:40
97,79,A new complaint has been submitted to your department.,1,2024-12-03 13:22:58
98,24,"Update on your complaint ""Lighting issues in study room"": status changed to In Progress.",1,2024-10-21 02:08:28
99,9,"Complaint ""Lab equipment malfunctioning"" status has been updated. Check your dashboard.",1,2025-02-12 06:46:15
100,71,"Your complaint ""Assignment grades not updated on portal"" has been escalated to the department head.",0,2024-02-17 19:32:25
